image_filename,region_id,gt_text,pred_text,cer,wer,iou_with_best,matched_conf
814-1-1200_page1.png,KpnDJBdeNF,Owners',Owners,0.142857143,1,0.738141336,0.999965544
814-1-1200_page1.png,zOZKPwZZ-7,Suite,Suite,0,0,0.851931089,0.999974943
814-1-1200_page1.png,QbYekbQhpw,12' x 16',12' X 16',0.111111111,0.333333333,0.871129134,0.465390357
814-1-1200_page1.png,T4yUwsisnd,Dining,Dining,0,0,0.79555757,0.999987493
814-1-1200_page1.png,pqo3wAJVSu,"10' x 9'4""","10' x 94""",0.1,0.333333333,0.854849929,0.526000185
814-1-1200_page1.png,MSqA6hZENl,Living,Living,0,0,0.814366106,0.999997518
814-1-1200_page1.png,9yfVjLAg4x,"12'4"" x 16'6""","12'4"" x 16'66""",0.076923077,0.333333333,0.711090181,0.270454374
814-1-1200_page1.png,y3Trgpf1oy,Bedroom,Bedroom,0,0,0.956503084,0.999965306
814-1-1200_page1.png,jWIxEXJobl,10' x 10',10' x 10',0,0,0.860082305,0.719059271
814-1-1200_page1.png,kI_dlGllfJ,Kitchen,Kitchen,0,0,0.841150934,0.995982462
814-1-1200_page1.png,qL_DdUCEwj,9'4'' x,"94"" X",0.571428571,1,0.855367461,0.478355629
814-1-1200_page1.png,P9qNpabnuZ,"10'4""","10'4""",0,0,0.853198065,0.35764591
814-1-1200_page1.png,NhzWAnat7-,Bedroom/Den,BedroomIDen,0.090909091,1,0.829223499,0.509093499
814-1-1200_page1.png,Eb_uhRreOK,10' x 10',10' x 10',0,0,0.808547577,0.55664651
814-1-1200_page1.png,J77jq4ZDJO,Entry,Entry,0,0,0.878787879,0.999992483
814-1-1200_page1.png,akPjNG_oav,Nook,Nook,0,0,0.918117219,0.999913573
814-1-1200_page1.png,UTZ9VJ0ZNK,"8'8"" x 11'","8'8"" x 11'",0,0,0.831249605,0.620043664
814-1-1200_page1.png,-2neeUJkHz,Covered Porch,Covered Porch,0,0,0.831633407,0.999969774
814-1-1200_page1.png,DXswcpSSRG,46',46',0,0,0.828521202,0.957428184
814-1-1200_page1.png,MZPW4pwZlJ,32',32',0,0,0.818399549,0.404144794
3601-1-1200_page1.png,0v6odL8_rB,"50'-0""","50'0""",0.166666667,1,0.881957368,0.831150253
3601-1-1200_page1.png,guRKsCYh65,PATIO,PATIO,0,0,0.850717825,0.984627118
3601-1-1200_page1.png,m1OHY5cBeG,M. BEDROOM,M BEDROOM,0.1,0.5,0.915648946,0.912562993
